# color,number_of_stars,G_B,G_V,G_J,G_H,G_K,G_B_std,G_V_std,G_J_std,G_H_std,G_K_std,G_B_std_err,G_V_std_err,G_J_std_err,G_H_std_err,G_K_std_err
2.000000000000000111e-01,9.960000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.239259135770989478e-02,7.929726298075603919e-03,4.658642542888840818e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.423489190592868603e-01,3.754942392341727442e-01,4.352302854880174543e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.401636186005797598e-02,1.189799026674675728e-02,1.379079932382242142e-02
4.000000000000000222e-01,1.522000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,2.621268032414841298e-01,2.721432355011026427e-01,3.112647758990173541e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.133523705344966909e-02,7.148566163265765439e-02,5.686555207470737894e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.572181645907545300e-03,1.832363427021279061e-03,1.457611995178983207e-03
6.000000000000000888e-01,2.385000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,4.066142682009523113e-01,4.618788271330187545e-01,5.076549252124202827e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.631657952835356973e-02,6.963407729174123095e-02,5.694056305005841534e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.357931698979932466e-03,1.425862454851818933e-03,1.165943661047553299e-03
8.000000000000000444e-01,4.178000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.506661209893488618e-01,6.552934508508561073e-01,7.099964161019624020e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.917500436150850196e-02,8.132938775234313522e-02,5.730228532955699422e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.070200075738081055e-03,1.258239413725586965e-03,8.865183409194035864e-04
1.000000000000000000e+00,1.152700000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,6.972495872707371589e-01,8.626299995266161202e-01,9.196345975105931769e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.872587012202566181e-02,8.239656645946952240e-02,5.548856195584587342e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.401210375069192344e-04,7.674515508555172826e-04,5.168271538196147910e-04
1.199999999999999956e+00,2.968200000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.233254152474943632e-01,1.049656259138848746e+00,1.112932585519677886e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.092358044931103278e-02,8.580120457401492484e-02,5.586119997112905244e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.116651204663740416e-04,4.980200237122261444e-04,3.242378271066889174e-04
1.400000000000000133e+00,4.573400000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.467446973370010621e-01,1.230432676331655983e+00,1.303507521629291732e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.095753965691459220e-02,9.107600902671185439e-02,5.714205293630293669e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.318019659186088812e-04,4.258772075412453270e-04,2.671998718185961304e-04
1.600000000000000089e+00,3.881800000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.068492348703045103e+00,1.406946338600694402e+00,1.492383842042255493e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.488483015394750197e-02,1.055869661068836313e-01,5.719582627901393518e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.308375089264600516e-04,5.359123104810358884e-04,2.903004844369705276e-04
1.800000000000000044e+00,2.408600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.193933779522399208e+00,1.588957940444274852e+00,1.691973595804108221e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.094798399858515903e-01,1.422728852547026079e-01,5.730854868107588401e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.054265692911967488e-04,9.167265257362009704e-04,3.692640845325805953e-04
2.000000000000000000e+00,1.485200000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.303777196000857064e+00,1.743331871198381400e+00,1.890101669035669341e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.865630579543084144e-01,2.682986005251397077e-01,5.732493695960815677e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.530851913483755608e-03,2.201536737779649904e-03,4.703824561904658115e-04
2.200000000000000178e+00,7.367000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.394085381819723857e+00,1.839703404727033309e+00,2.087965255160983524e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.007002209008096671e-01,4.824210457676325059e-01,5.664441598792618188e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.503389404821124955e-03,5.620577116112453718e-03,6.599511174946615533e-04
