# color,number_of_stars,G_B,G_V,G_J,G_H,G_K,G_B_err,G_V_err,G_J_err,G_H_err,G_K_err
1.499999999999999944e-01,6.290000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,6.222259524516726009e-02,1.072496905425394595e-02,2.804928932735764602e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.819300523008042292e-02,1.651512166932003756e-01,1.599222382017850552e-01
2.999999999999999889e-01,7.440000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.022231246835441976e-01,1.950954352655718538e-01,2.298373650479060282e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.737531634411049075e-02,5.204739811352569051e-02,4.335477035329133449e-02
4.499999999999999556e-01,1.089000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.110321323405284000e-01,3.345674894839060221e-01,3.766565533052134707e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.962802343580518388e-02,5.551185297702432297e-02,4.278414064683629114e-02
5.999999999999999778e-01,1.426000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,4.208352231377471830e-01,4.801893428197916980e-01,5.275490869144905393e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.987362766581983547e-02,5.830071142813666313e-02,4.313686874311652153e-02
7.500000000000000000e-01,2.077000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.301444533930756986e-01,6.268127250395890693e-01,6.808367983102224796e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.395379995483543856e-02,6.817734472078543217e-02,4.315799823434123689e-02
9.000000000000000222e-01,3.661000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,6.396440855306017026e-01,7.792370894410446391e-01,8.352182401851434568e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.205738671587942429e-02,7.318977173483108556e-02,4.304677196784941623e-02
1.049999999999999822e+00,8.190000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,7.391030522929880053e-01,9.240605630862989139e-01,9.832316245497073615e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.748280025388189718e-02,7.727440172318471301e-02,4.239847175735291657e-02
1.199999999999999956e+00,1.546300000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.349122401929908177e-01,1.065974974273008691e+00,1.129979305585574911e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.618114361496010845e-02,7.520632259234885653e-02,4.281861473528979917e-02
1.349999999999999867e+00,1.969600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.307350728397539852e-01,1.205361751353808408e+00,1.277111748531521318e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.067169712287045352e-02,8.043945421836101728e-02,4.319363522831078800e-02
1.499999999999999778e+00,1.949300000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.023503307882062563e+00,1.341182219182852409e+00,1.421690608492163221e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.974744764625516458e-02,8.752433525904812495e-02,4.325392288455856549e-02
1.649999999999999911e+00,1.461500000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.120195274437856492e+00,1.481217919935969629e+00,1.570826270879640330e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.729465990931758124e-02,1.020794863755516285e-01,4.353574320728682140e-02
1.799999999999999822e+00,1.069800000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.210226029542076809e+00,1.615595906399013515e+00,1.720980373670685237e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.178842741916584919e-01,1.416613677043992714e-01,4.305382236670779461e-02
1.949999999999999734e+00,7.667000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.291445667373320783e+00,1.727549097848028792e+00,1.869213243436981253e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.790790330142094655e-01,2.538238341773585427e-01,4.300102973136052387e-02
2.100000000000000089e+00,4.685000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.356686020406358661e+00,1.802167770422382853e+00,2.017614733065968391e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.736552506470543711e-01,4.206295331645378832e-01,4.281698897055423447e-02
2.250000000000000000e+00,2.632000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.431349167526674071e+00,1.866132211721414524e+00,2.167667940032518281e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.385463638199523451e-01,5.688136332323699973e-01,4.354782246267868695e-02
2.399999999999999911e+00,1.309000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.533912905670469007e+00,2.002947294775815124e+00,2.315029794883873837e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.572345282934948907e-01,5.880246406360879474e-01,4.292728989735318523e-02
2.549999999999999822e+00,6.640000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.677206316626215665e+00,2.193403605955192681e+00,2.465855412454490025e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.707779132049862869e-01,5.201149660634097893e-01,4.222187770440107707e-02
2.699999999999999734e+00,3.750000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.801506655375162858e+00,2.394583993275960498e+00,2.621466672261556052e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.644124486781891936e-01,4.011745105301022241e-01,4.239272398603713410e-02
2.849999999999999645e+00,2.020000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.901217864291502746e+00,2.522579245047994245e+00,2.767222784533359015e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.093379248250546221e-01,4.050923392207832485e-01,4.299312368268241868e-02
3.000000000000000000e+00,9.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.032612182656112765e+00,2.603091809214377772e+00,2.919142830128572452e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.977123160871482654e-01,5.392134669901799127e-01,3.916920513982826563e-02
3.149999999999999911e+00,5.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.196807074965092088e+00,2.829614070423862593e+00,3.058210565332780906e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.799580113577339990e-02,8.420797349718701919e-02,3.688232624989102454e-02
3.299999999999999822e+00,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.179599952697754084e+00,2.973733488718668827e+00,3.212933413187662790e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.867836359483143971e-01,4.465790337320194731e-02,3.309482907577707134e-02
3.449999999999999734e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.922142982482910156e+00,2.567714350564139103e+00,3.367714200701032556e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.027996950272785481e-01,1.056557470013786082e+00,4.087527878058690861e-02
3.599999999999999645e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.021749973297119141e+00,2.226999878883361816e+00,3.535750031471252441e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040823286990775420e+00,1.303783433467600394e+00,2.902062486023469431e-02
3.749999999999999556e+00,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.899999999999999911e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.247000217437744141e+00,3.124000072479248047e+00,3.848999977111816406e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
